beds,baths,size,lot_size,price
3,2.5,2590,6000,795000
4,3,2040,3783,950000
4,3,3800,5175,1950000
1,1,670,6000,460000
5,3.5,4510,6000,3150000
3,2.5,1520,741,565000
4,2,2340,9500,699000
3,2,1320,1386,899000
3,2,1800,3993,1050000
3,2.5,2490,5757,935625
4,3,2650,6380,1511000
5,1.5,2560,5200,1330000
3,2.5,2974,3840,1750000
4,3.5,1989,1607,980000
2,2,1332,1101,845000
4,3,2668,5589,1213000
2,1,770,5250,530000
3,1.5,1280,9100,625000
5,3.5,3200,9260,1275000
3,2,3140,5000,1219700
4,2,2000,8077,907200
3,2.5,1690,1733,760000
4,5.5,3000,5520,1484000
3,3,1550,1400,950000
4,1.5,1940,8778,520000
3,2,1770,3349,805000
3,2.5,1500,1056,1070000
5,4,2920,6323,948000
3,2,2817,6375,912000
2,2,1280,3000,776000
2,1,1240,5038,750000
4,2.5,2280,3932,1065000
4,3.5,2478,2761,1580000
3,3,2360,6600,1775000
2,1,720,7500,600000
3,2,2480,5829,800000
3,2,1550,6720,1100000
2,1,780,3060,750000
5,3,2820,6250,865000
5,3,2900,3600,1450000
2,2,1092,5500,829000
3,2,1731,7514,575000
3,2.5,1500,8240,860000
2,2.5,1344,1110,770000
4,5.5,4040,8965,5495000
5,3,2820,6250,900000
3,1,1070,3840,575000
4,2,2100,4864,950000
3,2.5,2620,4080,1300000
3,2,1270,1333,727000
3,2,2702,6600,1605000
3,2,2350,7320,888000
4,1.5,2640,7440,1850000
3,1.5,1340,5120,615000
2,1,870,6554,555000
3,3.5,1510,1239,660000
3,1,1120,6096,615000
3,4,2220,974,1650000
4,3.5,2670,3405,1022700
2,1.5,1810,6827,925000
3,5.5,1530,1336,635000
2,1,820,5100,490000
3,2,1960,5000,950000
4,3.5,3010,4000,985000
3,1,2200,5000,1250000
4,4,3040,4000,1585000
3,2,1800,6180,936000
3,3,1450,525,750000
4,2,2400,5400,1385000
4,3.5,3057,7650,1800000
4,4,3142,6000,1600000
3,1,1050,3750,399950
3,2,1720,5000,855000
3,3.5,2650,8500,1095000
2,1.5,2680,6000,1125000
4,2.5,2550,5000,1560000
9,4,3800,6000,1343000
4,2,1910,6000,630000
4,3.5,2661,4081,1165000
4,3,2250,5250,1150000
4,1.5,2080,5000,950000
3,3.5,1370,982,699500
2,3,1840,9420,800000
5,8.5,3110,4455,1606500
2,2,1147,564,749950
2,2.5,1538,900,895000
2,1,1480,4600,720000
2,2,866,649,555000
4,3.5,2000,1532,870000
3,3.5,1470,1375,845000
2,2,1840,5000,1200000
4,2,2230,5940,925000
2,1.5,1290,1332,795000
3,2,1880,3200,911000
2,1.5,1300,3146,570288
5,4,2810,5000,1295000
4,2.5,2400,3200,1595000
3,2.5,2734,4000,1605200
3,2.5,1670,1687,865000
3,3,1530,2260,745000
4,1,1720,2835,543750
3,1,1200,5786,1099950
5,3,2030,5046,905000
3,2,2370,4865,1200000
3,1.5,1720,3825,825000
3,2,1590,8937,720000
2,1,840,4000,489000
5,2.5,2870,8741,520000
2,1.5,994,1494,580000
3,2,1630,6000,630000
3,2,1806,4400,799000
4,2.5,3060,4590,1450000
5,3.5,3820,7200,1350000
3,2.5,2350,7200,1582800
3,2.5,2080,9880,977000
3,1,1000,5960,710000
4,3,2230,9625,1205000
5,3,3130,5750,2095000
5,3,3750,5000,1580000
2,2,1720,5000,985000
3,2,1286,870,738000
2,1,1422,3399,715000
6,5,3620,5500,1420000
3,1.5,1370,6556,659950
4,2,2370,5000,1350000
4,2.5,2200,5146,825000
3,1,1660,4349,749900
4,2,2080,7200,675000
2,1,900,6150,480000
4,4.5,3960,7025,2485000
5,3.5,3310,6328,1575000
4,2,1910,5166,685000
3,2.5,1563,1950,839950
4,3,2390,3600,1300000
2,2,1201,720,699950
3,3,1940,5000,450000
2,1,1760,4625,715000
4,3,1680,3080,905000
2,2,1192,928,719950
4,4,2300,3589,1440000
3,2.5,2304,5000,1100000
4,4,2650,6000,1000000
5,4,4210,5200,2625000
4,3,2840,9996,1350000
2,1,980,4100,863000
4,4.5,2440,5000,1900000
2,2,1140,2550,590000
4,3.5,1824,3250,1299000
4,3,2478,4001,2095000
2,2,1140,5445,665000
3,1.5,1172,5760,685000
2,2,1433,1948,750000
3,2,1520,4000,760000
3,2.5,1380,2250,590000
4,2,1750,4950,1025000
3,2.5,3590,4250,1725000
5,3,2040,6180,605000
2,2,1560,6750,980000
2,2.5,1088,5500,835000
2,1,1460,5700,400000
3,2,1380,2909,800000
2,1,1000,4640,793000
2,2,1128,6000,625000
3,2.5,2000,7440,799000
4,5.5,2867,4983,1750000
4,3,1180,4650,956300
3,2,1920,3154,1067000
2,2,2220,5950,551000
2,3,1300,915,780000
3,2,1460,5005,583000
3,2.5,2500,4305,1685000
3,2.5,1540,1037,852500
5,3,2550,6604,940000
3,2.5,1520,1062,540700
4,3,2190,5136,860000
2,1,930,6000,620000
4,3.5,2780,4000,950000
3,1,2560,8927,776000
3,2.5,1566,1602,875000
3,2.5,1190,1290,750000
5,2.5,2760,6350,1025000
4,1.5,3260,5568,1695000
4,3,2380,4635,1399999
3,2.5,1712,1215,910000
2,2,1196,780,734999
3,2,1098,2320,864950
3,3,1250,6350,815000
1,1,880,4500,700000
4,2,1595,5500,525000
3,3,2380,5000,1230000
3,2,3190,4380,2700000
3,2.5,1465,2973,1175000
4,2,2910,8360,1400000
2,3,1140,650,675000
1,1,500,4000,385000
3,2,1580,6400,942000
5,3,2430,7812,915000
2,2,2360,5800,1460000
3,2.5,1396,4800,780000
4,2,2340,7500,925000
4,1.5,2140,6511,700500
4,3,2980,4480,1090000
3,1.5,1390,9350,412000
2,1,720,4240,525000
4,2.5,1850,2856,945000
3,4.5,1710,1326,725000
3,2,1606,900,1450000
3,2.5,1815,1500,1295000
2,1,1120,1188,700000
4,2,2220,9295,995000
3,2,1460,4590,888000
5,3,3820,7980,1575000
3,3.5,2480,2400,1795000
5,3,2777,7026,1338600
2,2,1170,588,624999
3,1,1430,2280,980000
2,5.5,1320,1250,679950
2,2,2170,5250,893000
3,1.5,1630,6615,895000
2,2,1900,2164,1310000
3,2,1760,4000,689000
3,2.5,1712,1514,970000
4,2.5,3190,5500,1820000
4,3.5,3590,4000,2900000
1,1,630,4895,255000
5,2,1830,5220,665000
2,1,760,3072,250000
3,2.5,2600,5100,1148000
3,2,2130,4850,990200
3,3.5,2899,5346,1800000
4,4,3360,5000,1200000
4,2.5,2240,5229,1050000
2,1,886,8863,620000
3,2,1560,4960,799000
4,2,1730,8100,852000
3,2,1700,5346,1150000
4,3.5,1909,1544,1500000
3,2,2180,3740,1012000
3,3,1460,7200,1000000
2,1,1010,6750,549950
3,1,990,8100,635000
2,2,1164,8280,706474
4,2,2740,6000,1400000
3,2,1670,5400,485000
3,1,830,7800,660000
2,2,1200,1247,705000
3,3.5,2530,1880,1299000
4,3,2660,5100,1360000
4,2,2820,4764,1441000
2,1.5,1088,1518,590000
6,3.5,3785,5150,3150000
3,2,1540,1102,630000
3,3.5,1968,1498,980000
2,2.5,1320,1030,570000
3,2,2980,5800,1415000
4,3.5,3050,6146,2250000
3,2,2020,7200,917500
3,2.5,1926,1483,1148000
2,1,1330,7425,479000
3,2,2410,4950,1083000
2,2.5,1580,5000,699000
3,1,1030,4480,710000
3,3,1630,6721,615000
4,2.5,2370,3600,750000
4,1,1310,6000,735000
3,2,1996,4656,986500
3,2,1580,6396,820000
4,2,2360,6120,950000
2,2.5,1250,1027,725000
4,2.5,2380,5000,1900000
2,2,1095,617,599950
2,2,1080,1175,533500
2,2,1146,800,845000
4,2.5,1544,2352,850000
4,3,2360,7200,1360000
2,2,724,5400,430000
5,2.5,2180,4069,1009975
3,2,1960,4400,955000
1,1,727,5250,445000
3,2,1209,752,725000
5,3,3070,3400,1450000
4,2.5,2130,6250,960000
4,2.5,2220,3770,1235000
4,3,2288,6550,1105000
5,3,3120,7865,795000
4,2.5,2180,6099,1275000
3,2,1590,3000,560000
3,1.5,2220,6270,930000
4,2,2480,5996,825000
4,3,3320,5750,750000
2,1,1720,5017,575000
3,2,2050,5000,1265000
4,3,2370,3880,1830000
3,3.5,1670,905,1115000
3,3,3120,5996,1350000
3,2,2260,6000,1300000
2,1,650,3780,708888
3,3.5,1540,2322,699950
3,3.5,1980,1659,1055000
3,1,2160,5100,920000
2,3,1740,4148,1395000
3,2,1900,4000,1766000
9,5,3940,5303,1089000
3,2.5,1610,1690,895000
6,4,2960,3796,1050000
4,2,1810,5100,945000
3,4.5,3760,7000,1570000
4,2.5,2720,8000,1315000
2,2,1510,7200,915000
2,2,1350,815,1035000
4,3.5,2980,4800,2400000
5,2,2260,3848,865000
3,2,1990,8710,730000
3,2,2350,4400,1140000
2,1,1440,6090,699950
2,1,770,5896,560000
3,2.5,1570,1342,700000
3,3,2650,8612,1600000
2,1.5,1070,1726,850000
3,0.5,1941,3726,892700
3,2.5,2030,3999,1439000
2,2.5,1400,1112,850000
3,2,2354,4400,938000
3,1,1340,7669,785000
3,1.5,1220,6350,599000
2,1,1250,4500,500000
2,2,1040,6800,625000
2,1,1660,4800,850000
2,1.5,805,5000,500000
3,1,1060,4000,1125000
5,3.5,3160,6200,2300000
3,3,1120,4800,525000
4,2.5,1881,1881,870000
5,2.5,3460,7464,2425000
3,2,1340,2211,925000
4,2.5,2560,6582,1712000
4,2,2178,6800,880000
4,3.5,3220,6250,2195000
3,3,2070,4227,730000
3,2.5,2131,1036,1520000
2,3,970,593,769900
6,3.5,2430,5580,870000
3,2.5,1395,1418,725000
3,2.5,1810,6925,922000
5,3,2170,7500,775000
4,3,3120,9750,1670000
3,2,1870,4000,849000
4,3.5,2285,1792,1500000
3,2.5,2783,7206,1640000
4,2,2540,4700,1280000
3,2.5,1420,1873,890000
3,1,1410,7080,475000
3,2,2320,4000,880000
3,2,1719,1056,1160000
4,2,2037,3326,1247500
2,1.5,1370,938,700000
2,1,1480,6734,905000
5,4.5,3636,6180,2840000
3,1.5,1780,4800,650000
3,2,1094,2332,649995
1,1,830,5100,695000
4,3.5,5690,7469,3630000
3,2.5,1460,1850,575000
3,2.5,1386,1065,999950
5,3,2310,4011,780000
2,1.5,1340,4342,675000
2,4,1291,1361,800500
3,2.5,2320,4400,949000
3,2,1425,759,750000
3,2.5,1810,1436,1000000
2,1,1280,2690,859000
3,3,1480,9127,729000
3,3,2110,7324,1270000
3,2.5,1569,1553,950000
3,3,2247,866,1725000
3,1,1220,5000,750000
2,1,1060,3250,900000
4,1.5,1740,9205,649950
3,1.5,2230,3500,1075000
4,2.5,2760,6001,640000
3,3,1660,625,795000
3,2.5,1360,916,805000
4,4.5,5200,7653,2600000
3,2.5,1573,1255,1030000
4,3,1700,7320,649000
4,3.5,2560,4080,1325000
3,2,1330,1539,680000
4,2,2180,5100,838000
3,2,1350,1055,785000
2,1.5,1720,1588,725000
2,2.5,1460,1536,599950
4,3,1540,3060,1108000
3,1.5,2560,6150,720000
2,2.5,1440,3000,875000
3,2.5,1324,2217,649950
2,2,1290,1192,635000
3,2,1660,6120,795000
3,1,1964,9050,625000
3,2,1460,1554,759000
4,2,2060,5080,812500
4,2,1160,4224,710000
3,2,1540,1124,680000
2,1,1860,2526,898000
5,4,4490,5220,1150000
6,4,2310,5012,849000
2,1,2110,8160,376000
3,1.5,1590,3797,700000
3,2.5,1280,1845,900000
2,1,840,8150,495000
3,2,2020,8120,950000
4,3,3610,8037,2330000
2,1,1040,6103,350000
3,2.5,1970,2109,715000
4,3,2190,5350,1490000
4,3,2120,7721,920000
4,3.5,1835,1750,1299950
2,4.5,1670,905,1115000
3,3.5,2570,4094,2000000
3,2,2060,3090,700000
3,2.5,1740,1389,1678000
5,3,2510,5130,910000
3,2,1516,5000,1150000
3,1,940,4850,500000
4,2,2440,4002,1116000
5,4,2470,5000,1005000
2,2,1288,5365,755000
4,3.5,3240,4680,1995000
3,2.5,1550,1391,825000
4,2,2080,7740,750000
4,3,1400,5000,1000000
2,2.5,1159,5250,885000
2,1.5,901,4800,599000
4,3,2900,7500,1175000
2,2,2353,8750,1160000
5,2,2640,2950,1000000
2,1,1090,4500,580000
5,2.5,3960,7680,1850000
4,1.5,3030,5400,1500000
4,2.5,3080,9300,650000
3,1,910,7242,480000
5,3.5,4180,4080,3000000
5,1.5,2830,4000,766000
2,1,970,5130,600000
3,2,1576,1238,974999
3,2,1080,5750,875000
5,5,3623,8000,1975000
4,3.5,2520,3821,1765000
4,3.5,2720,3024,1750000
2,2,968,656,715000
2,3.5,2080,1412,1495000
2,1,860,6678,750000
4,3,2860,4182,1600000
5,2,2340,5120,613000
3,2.5,1810,1436,1000000
2,1,2530,5000,700000
3,3.5,1820,1099,1125000
2,1,648,4997,430000
5,3,2970,5250,1225000
5,4,3030,5200,1250000
3,2,1400,8910,530000
3,2,2740,5000,1278500
2,1,720,6693,545000
4,2.5,1880,3300,1050000
4,2,3325,6000,1650000
5,3.5,4397,6800,3400000
3,1.5,1540,6300,689000
4,3,2340,5023,780000
3,3,1880,2200,999950
2,2,1570,3060,849000
4,2.5,1806,5000,745000
3,2.5,1346,1270,899000
3,2,1600,8640,877500
3,2.5,1660,1681,690000
3,2,1390,6656,899950
3,2,2900,3800,1305000
3,4,2400,5563,1460000
3,1,1120,4000,985000
4,2,1710,3250,1170000
3,2,1880,1751,955000
3,3,1454,760,890955
14,5,3884,4968,1300000
3,1.5,2300,4100,1125000
4,3,2520,3000,1025000
4,3,3335,6000,1325000
3,2.5,2118,2466,837000
2,1,910,4800,825000
4,1,2080,4845,800000
2,1,2520,5000,810000
3,2,1560,5056,965000
2,1,1130,4388,1180000
1,1,620,6090,524950
3,3,1720,8370,865000
1,1,530,2500,390800
4,2,1350,5300,700000
3,2.5,1510,2656,717500
3,1,1730,4200,900000
4,2.5,2172,3431,975000
3,3.5,1410,1478,740000
2,2,1350,4590,960000
2,2,900,2041,1650000
2,2,1174,800,779000
5,3,3590,6900,1700000
3,2,1548,1139,850000
4,3,3030,6960,1119000
4,2,2245,7892,775000
4,3.5,2627,5150,1650000
4,2.5,3680,7000,1880000
2,1,2170,6985,950000
3,1,1600,3600,1023000
3,1.5,2120,3880,865000
3,2.5,1980,5000,675000
3,2,1370,3060,1270000
4,1.5,1300,4080,975000
3,2,1060,5290,599000
2,1,770,5772,490000
3,2.5,2260,4000,1406000
2,1.5,1120,966,605000
3,3.5,1936,1770,1295000
2,2.5,1560,1263,730000
2,2,1020,776,605000
3,2,1100,2700,645000
3,2,2120,6400,1130000
2,2.5,1400,824,1062500
3,2.5,1320,1396,835000
4,4.5,4790,5000,1750000
3,1,1070,6535,515000
2,2.5,1966,1412,1495000
3,2.5,1047,680,720000
2,1.5,1760,4000,650000
2,2,1030,7200,826500
3,2,1514,990,915000
3,1.5,1520,7150,720000
4,3.5,3360,6000,1575000
3,2,1910,7500,725000
2,2.5,1550,1131,1051500
3,3,1190,850,765000
4,2,2640,3840,700000
3,3.5,2206,1500,1116000
8,4,3136,8636,1005000
2,2,1149,564,730000
1,1,861,9600,405000
4,2.5,2050,9555,805000
3,3.5,1930,6000,600000
3,2,2437,6500,1275000
2,2.5,1330,856,699950
3,2,1680,6000,910000
2,2,1112,1484,675000
2,1,1230,5000,326000
4,2.5,2840,4480,1200000
2,1.5,1115,745,745000
4,2,2240,5043,750000
4,3,1900,2256,1150000
3,3,1970,8540,1395000
3,2.5,1512,1041,760000
2,1.5,806,4001,510000
2,2,1319,794,838000
2,1,2300,8799,525000
2,1.5,1127,5500,1008000
4,2,2280,8000,640000
2,2,1120,1168,789500
4,3,1960,5200,1270000
2,2,1228,900,900000
3,2,1800,3172,1130000
4,1,1190,7320,463900
5,5.5,5770,8226,5000000
2,2.5,1710,962,875000
2,2,968,656,700000
2,1,790,5877,532500
3,2,1300,3914,1100000
3,3.5,2106,1785,1266000
3,2.5,1573,1243,1099950
4,3.5,4006,5000,2940000
2,1,1060,5666,875000
3,2.5,1610,1426,840000
4,2.5,2390,3570,1350000
2,1,1080,6000,950000
2,1,1350,6500,850000
4,3.5,2795,6400,1740000
2,1,970,2714,1075000
3,3.5,1820,1101,1250000
3,2,1770,7242,500000
6,4,3280,5650,999950
4,2.5,1939,2499,1025000
4,3,2200,5586,874999
3,2,1650,5075,750000
3,2,1260,2640,615000
2,2,1020,776,605000
3,2.5,1500,1235,1023500
2,1,1080,6000,650000
4,2.5,1544,1562,889000
4,2,1470,4000,460000
4,2,1680,2600,930000
4,2,2420,3680,948750
4,3.5,2011,2421,1130000
2,2.5,840,846,629000
1,1,434,6600,345000
4,2.5,2730,5724,1175000
3,1.5,1350,2497,599000
3,3.5,1740,2061,840000
3,2.5,1940,2880,1140000
4,1,1340,6000,685000
2,2,1110,1650,689000
3,2.5,1380,1550,613000
3,2.5,1400,1001,785000
3,2,2110,4000,815000
3,2,1830,5850,835000
3,2,1480,5000,780000
3,1.5,1550,8070,835000
3,2,1670,8573,620000
4,2.5,2890,3060,1650000
3,3.5,1590,1781,820000
4,2,1440,4560,760000
3,2.5,2529,3000,1650000
3,2,1565,2500,985000
3,7,2190,5504,1868000
2,2,1400,3060,530000
3,3.5,1352,1680,886000
4,4,2030,5400,1349000
5,4,3240,8820,1825000
3,2,1758,1350,1130000
3,2.5,1830,1175,960000
4,3,2970,4000,1950000
3,3.5,1500,1182,700000
3,2,2020,6000,900000
3,3.5,2188,4920,1700000
2,2,1889,9601,2750000
2,2,1131,6018,575000
4,3,3300,7700,1995000
4,2,2510,5460,1025000
2,2,1220,755,600000
9,5,3590,4680,1100400
6,5.5,4299,6867,3300000
3,2.5,1260,1252,750000
2,2.5,1048,1048,760000
4,1,1470,8520,699999
1,1,1113,9830,595000
2,2,1570,3250,715000
3,2.5,2740,4800,1375000
2,2.5,1470,780,885000
4,2,1710,9660,685000
3,2.5,1580,1372,1095000
2,1,800,6946,550000
3,1,980,3000,500000
5,3.5,3700,7581,2075000
4,2,2352,5000,1450000
3,3,2320,9465,675000
2,2,1503,6250,729000
4,5.5,2410,9000,1500000
3,1.5,1640,5196,1060000
3,1.5,2440,4000,1400000
4,2,1480,6075,665000
3,2.5,1220,1136,618000
3,2,2740,8340,1305000
3,3,2160,6710,1300000
2,2,1400,802,850000
3,2.5,2650,7548,1112000
2,1,1201,5000,605000
6,6,3488,2388,1225000
4,2,2390,5535,1195000
3,1,4018,5000,517500
3,3.5,1530,3000,1089000
5,3.5,3340,3600,2500000
2,1,2060,6000,525000
3,2.5,1650,2752,675000
2,2,1200,8000,519000
3,2.5,1390,1570,575000
3,2,1759,1188,890000
2,1.5,1690,5027,779000
4,3.5,2191,4120,1394600
3,2.5,1380,1022,655000
5,4,2754,3969,956000
3,2,2770,7770,700000
4,3,2560,9956,890000
3,2.5,1763,2498,1135000
3,2.5,1550,7089,1350000
2,1,830,6600,645000
3,4.5,1460,1231,700000
2,2,1036,656,789950
3,1.5,1430,8992,438000
2,2,1960,7405,580000
4,3.5,2720,7598,1395000
3,2,2600,4200,1525000
3,2,1900,6093,965000
2,1.5,1580,6120,1300000
1,1,1270,5640,915000
4,2.5,2320,9500,1001000
2,1,1915,5077,725000
3,2,2462,3200,1150000
4,3.5,2640,3062,1750000
3,2.5,1670,1304,875000
3,1,1090,7258,630000
3,3.5,1621,987,1085000
4,2,2591,6900,800000
2,2.5,840,897,612500
4,3.5,2910,3491,2325000
2,1,1410,5000,590000
2,1,770,4672,560000
3,2,1900,6957,1299000
3,2,2760,5195,1256000
3,2,1290,2700,925000
2,2,850,6120,889900
2,1.5,900,900,568000
6,5,2667,4000,900000
2,1.5,1320,6080,810000
2,1,1140,4920,528000
3,1,1380,4080,890000
3,2,1422,1405,780000
3,2,1250,6000,625000
3,2,1680,5000,1087500
2,2,840,1452,645000
3,1.5,1880,6215,749000
2,2,881,6000,550000
2,1,850,4000,778000
3,1.5,2170,3000,1250000
2,1,1110,5413,820000
4,3.5,3930,4000,2925000
3,1.5,1710,1250,1000000
5,3,2120,1959,750000
3,4,2360,5080,1325000
4,4,2250,6600,1070000
4,2,2320,6960,1150000
